 Time  Inactive  Infected  Recovered  Total(ct.)
  0.10672090307194351               22           4           1          27
  0.40112111846280574               21           5           1          27
  0.52740567127863736               20           6           1          27
  0.55207762952198725               19           7           1          27
  0.60923138261219711               18           8           1          27
  0.62491755669473870               17           9           1          27
  0.69457980449060353               17           8           2          27
  0.69669271239823627               16           9           2          27
  0.71208431302746023               15          10           2          27
  0.72610585605671552               14          11           2          27
  0.79984891026060034               13          12           2          27
  0.80513993514756077               12          13           2          27
  0.83650187335527759               11          14           2          27
  0.85236115949945057               10          15           2          27
  0.85921227576261794               10          14           3          27
  0.89549210594823980                9          15           3          27
  0.89854582100125768                8          16           3          27
  0.90762361147724213                8          15           4          27
  0.93953664861809727                8          14           5          27
   1.0227466213289400                8          13           6          27
   1.0729044988870140                7          14           6          27
   1.1168673841935721                6          15           6          27
   1.2158667920888966                5          16           6          27
   1.2227078027942899                4          17           6          27
   1.2753891925713783                4          16           7          27
   1.3304322922112932                4          15           8          27
   1.3310665916169206                4          14           9          27
   1.3392482012470697                4          13          10          27
   1.3520386031183074                4          12          11          27
   1.4611100158692558                4          11          12          27
   1.5372262128126508                4          10          13          27
   1.7030074896783147                4           9          14          27
   1.8139920500095141                4           8          15          27
   1.9112178778589390                4           7          16          27
   2.1402992571555535                4           6          17          27
   2.3915167887246715                4           5          18          27
   2.9203393537596520                4           4          19          27
   2.9553547084060821                4           3          20          27
   2.9699191020813358                4           2          21          27
   3.1197958797766221                4           1          22          27
   3.6812672630332237                4           0          23          27
